Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R131       RES0805              52.705mm        25.4mm      52.705mm        25.4mm      52.705mm       24.35mm  T         90.00 RES0805 1K 1%  
R135       RES0805              52.705mm      15.875mm      52.705mm      15.875mm      52.705mm      14.825mm  T         90.00 RES0805 220R 1%
R91        RES0805             50.1658mm      56.261mm     50.1658mm      56.261mm     50.1658mm      57.311mm  T        270.00 RES0805 100R 1%
R11        RES0805               101.6mm     132.715mm       101.6mm     132.715mm      100.55mm     132.715mm  T        360.00 RES0805 4K7 1% 
R110       RES0805              50.165mm      41.275mm      50.165mm      41.275mm      50.165mm      42.325mm  T        270.00 RES0805 510R 1%
R132       RES0805               31.75mm      24.765mm       31.75mm      24.765mm       31.75mm      23.715mm  T         90.00 RES0805 1K 1%  
R136       RES0805               31.75mm       15.24mm       31.75mm       15.24mm       31.75mm       14.19mm  T         90.00 RES0805 220R 1%
Q24        SOT23                53.975mm       31.75mm      53.975mm       31.75mm      53.025mm       30.55mm  T         90.00 BC847          
Q27        SOT23                53.975mm       20.32mm      53.975mm       20.32mm      52.775mm       21.27mm  T        360.00 BC847          
Q23        SOT23                 33.02mm      32.385mm       33.02mm      32.385mm       32.07mm      31.185mm  T         90.00 BC847          
Q28        SOT23                 33.02mm      19.685mm       33.02mm      19.685mm       31.82mm      20.635mm  T        360.00 BC847          
P1         HEADER_3_LATCH       100.33mm      137.16mm      100.33mm      137.16mm      102.87mm      137.16mm  T        180.00 Header 3 Latch 
LED8       LED_0603             55.245mm       15.24mm      55.245mm       15.24mm      55.245mm       15.99mm  T        270.00 LED 0603       
LED7       LED_0603              34.29mm       15.24mm       34.29mm       15.24mm       34.29mm       15.99mm  T        270.00 LED 0603       
K2         G5LA                 64.135mm      19.165mm      64.135mm      12.065mm      64.135mm      12.065mm  T         90.00 Relay 1 pole   
K1         G5LA                 43.815mm      19.165mm      43.815mm      12.065mm      43.815mm      12.065mm  T         90.00 Relay 1 pole   
D16        DO-41                 62.23mm       34.29mm       62.23mm       34.29mm          57mm       34.29mm  T        360.00 Diode 1N4007   
D4         DO-214AS            102.489mm      129.54mm     102.489mm      129.54mm     104.589mm      129.54mm  T        180.00 SMBJ5.0CA      
D1         SOT23                97.155mm     131.445mm      97.155mm     131.445mm      96.205mm     130.245mm  T         90.00 BAT54S         
D15        DO-41                45.085mm       34.29mm      45.085mm       34.29mm      39.855mm       34.29mm  T        360.00 Diode 1N4007   
Q12        TO-263AB            149.225mm      99.695mm      154.94mm      99.695mm      143.51mm      102.29mm  T        270.00 IRFZ44         
Q6         TO-263AB            149.225mm     123.825mm      154.94mm     123.825mm      143.51mm      126.42mm  T        270.00 IRFZ44         
Q14        TO-263AB            149.225mm       87.63mm      154.94mm       87.63mm      143.51mm      90.225mm  T        270.00 IRFZ44         
Q16        TO-263AB            149.225mm      75.565mm      154.94mm      75.565mm      143.51mm       78.16mm  T        270.00 IRFZ44         
Q9         TO-263AB            149.225mm     111.633mm      154.94mm     111.633mm      143.51mm     114.228mm  T        270.00 IRFZ44         
Q1         TO-263AB            149.225mm      135.89mm      154.94mm      135.89mm      143.51mm     138.485mm  T        270.00 IRFZ44         
U9         SOIC8                119.38mm     111.125mm      119.38mm     111.125mm      116.98mm      113.03mm  T          0.00 HCPL0631       
U11        SOIC8                119.38mm     104.775mm      119.38mm     104.775mm      121.78mm      102.87mm  T        180.00 HCPL0631       
U41        SOIC8                156.21mm      45.085mm      156.21mm      45.085mm      158.61mm       43.18mm  T        180.00 MCP601         
U42        MSOP8                142.24mm       45.72mm      142.24mm       45.72mm     144.215mm      44.745mm  T        180.00 MCP3201-CI/MS  
U44        SOIC8                156.21mm       36.83mm      156.21mm       36.83mm      158.61mm      34.925mm  T        180.00 MCP601         
U43        MSOP8                142.24mm        38.1mm      142.24mm        38.1mm     144.215mm      37.125mm  T        180.00 MCP3201-CI/MS  
U8         SOIC8                119.38mm     117.475mm      119.38mm     117.475mm      116.98mm      119.38mm  T          0.00 HCPL0631       
U25        SOIC8                143.51mm      53.975mm      143.51mm      53.975mm      141.11mm       55.88mm  T          0.00 TLC6515CD      
U23        SOIC8                154.94mm       60.96mm      154.94mm       60.96mm      157.34mm      59.055mm  T        180.00 LM358AD        
U6         SOIC8                119.38mm     123.825mm      119.38mm     123.825mm      116.98mm      125.73mm  T          0.00 HCPL0631       
U22        SOIC8                143.51mm      62.865mm      143.51mm      62.865mm      145.91mm       60.96mm  T        180.00 TL431ACD       
