Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R49        RES1206              141.89mm      90.055mm      141.89mm      90.055mm     140.465mm      90.055mm  T        360.00 ChipRes        
R46        RES1206               145.7mm      92.595mm       145.7mm      92.595mm       145.7mm       91.17mm  T         90.00 ChipRes        
R42        RES1206               145.7mm      98.945mm       145.7mm      98.945mm       145.7mm      100.37mm  T        270.00 ChipRes        
R43        RES1206              117.76mm      98.945mm      117.76mm      98.945mm     119.185mm      98.945mm  T        180.00 ChipRes        
R44        RES1206                 133mm      98.945mm         133mm      98.945mm     131.575mm      98.945mm  T        360.00 ChipRes        
R38        RES1206              117.76mm      105.93mm      117.76mm      105.93mm     119.185mm      105.93mm  T        180.00 ChipRes        
R39        RES1206                 133mm      104.66mm         133mm      104.66mm     134.425mm      104.66mm  T        180.00 ChipRes        
R47        RES1206              117.76mm       93.23mm      117.76mm       93.23mm     119.185mm       93.23mm  T        180.00 ChipRes        
R48        RES1206                 133mm       93.23mm         133mm       93.23mm     131.575mm       93.23mm  T        360.00 ChipRes        
R77        RES1206             155.225mm      69.735mm     155.225mm      69.735mm     155.225mm       71.16mm  T        270.00 ChipRes        
R84        RES1206             167.925mm       66.56mm     167.925mm       66.56mm      169.35mm       66.56mm  T        180.00 ChipRes        
R85        RES1206             147.605mm       65.29mm     147.605mm       65.29mm      146.18mm       65.29mm  T        360.00 ChipRes        
R86        RES1206             152.685mm       65.29mm     152.685mm       65.29mm      151.26mm       65.29mm  T        360.00 ChipRes        
R20        RES1206             132.365mm      130.06mm     132.365mm      130.06mm      130.94mm      130.06mm  T        360.00 ChipRes        
R22        RES1206             132.365mm      127.52mm     132.365mm      127.52mm      130.94mm      127.52mm  T        360.00 ChipRes        
R24        RES1206             132.365mm     123.202mm     132.365mm     123.202mm      130.94mm     123.202mm  T        360.00 ChipRes        
R19        RES1206             118.395mm       132.6mm     118.395mm       132.6mm      119.82mm       132.6mm  T        180.00 ChipRes        
R82        RES1206             167.925mm        69.1mm     167.925mm        69.1mm       166.5mm        69.1mm  T        360.00 ChipRes        
R21        RES1206             118.395mm      128.79mm     118.395mm      128.79mm      119.82mm      128.79mm  T        180.00 ChipRes        
R76        RES1206             167.925mm       71.64mm     167.925mm       71.64mm      169.35mm       71.64mm  T        180.00 ChipRes        
R23        RES1206             118.395mm      126.25mm     118.395mm      126.25mm      119.82mm      126.25mm  T        180.00 ChipRes        
R25        RES1206             118.395mm      122.44mm     118.395mm      122.44mm      119.82mm      122.44mm  T        180.00 ChipRes        
R8         RES1206              77.755mm     140.855mm      77.755mm     140.855mm      77.755mm      142.28mm  T        270.00 ChipRes        
R7         RES1206              75.215mm     140.855mm      75.215mm     140.855mm      75.215mm      142.28mm  T        270.00 ChipRes        
R6         RES1206              72.675mm     140.855mm      72.675mm     140.855mm      72.675mm      142.28mm  T        270.00 ChipRes        
R28        RES1206               58.07mm     116.725mm       58.07mm     116.725mm       58.07mm      118.15mm  T        270.00 ChipRes        
R130       RES1206             169.195mm      43.446mm     169.195mm      43.446mm      167.77mm      43.446mm  T        360.00 ChipRes        
R121       RES1206             169.195mm      45.605mm     169.195mm      45.605mm      170.62mm      45.605mm  T        180.00 ChipRes        
R37        RES1206             132.365mm      109.74mm     132.365mm      109.74mm      133.79mm      109.74mm  T        180.00 ChipRes        
R104       RES1206             169.195mm       53.86mm     169.195mm       53.86mm      170.62mm       53.86mm  T        180.00 ChipRes        
R35        RES1206             118.395mm      111.01mm     118.395mm      111.01mm      119.82mm      111.01mm  T        180.00 ChipRes        
R105       RES1206             169.195mm      51.701mm     169.195mm      51.701mm      170.62mm      51.701mm  T        180.00 ChipRes        
R29        RES1206             132.365mm     117.995mm     132.365mm     117.995mm      130.94mm     117.995mm  T        360.00 ChipRes        
R31        RES1206             132.365mm     115.455mm     132.365mm     115.455mm      130.94mm     115.455mm  T        360.00 ChipRes        
R26        RES1206             118.395mm       119.9mm     118.395mm       119.9mm      119.82mm       119.9mm  T        180.00 ChipRes        
R30        RES1206             118.395mm     116.725mm     118.395mm     116.725mm      119.82mm     116.725mm  T        180.00 ChipRes        
R74        RES1206             44.7349mm      73.545mm     44.7349mm      73.545mm       43.31mm      73.545mm  T        360.00 ChipRes        
R78        RES1206             44.7349mm      71.005mm     44.7349mm      71.005mm       43.31mm      71.005mm  T        360.00 ChipRes        
R68        RES1206             44.7349mm      76.085mm     44.7349mm      76.085mm       43.31mm      76.085mm  T        360.00 ChipRes        
R67        RES1206             44.7349mm      78.625mm     44.7349mm      78.625mm       43.31mm      78.625mm  T        360.00 ChipRes        
R60        RES1206             44.7349mm      81.165mm     44.7349mm      81.165mm       43.31mm      81.165mm  T        360.00 ChipRes        
R57        RES1206             44.7349mm      83.705mm     44.7349mm      83.705mm       43.31mm      83.705mm  T        360.00 ChipRes        
R101       RES1206             167.925mm      64.147mm     167.925mm      64.147mm      169.35mm      64.147mm  T        180.00 ChipRes        
U3         SOIC8                125.38mm     143.395mm      125.38mm     143.395mm      122.98mm       145.3mm  T        360.00 HCPL0631       
U4         SOIC8                125.38mm     137.045mm      125.38mm     137.045mm      122.98mm      138.95mm  T        360.00 HCPL0631       
U14        DIP-4                125.38mm     100.215mm      125.38mm     100.215mm      129.19mm      98.945mm  T        180.00 Optoisolator1  
U12        DIP-4                125.38mm      105.93mm      125.38mm      105.93mm      121.57mm       107.2mm  T        360.00 Optoisolator1  
U15        DIP-4                125.38mm        94.5mm      125.38mm        94.5mm      129.19mm       93.23mm  T        180.00 Optoisolator1  
U22        D008_N               149.51mm      69.735mm      149.51mm      69.735mm      151.91mm       67.83mm  T        180.00 TL431ACD       
U6         SOIC8                125.38mm     130.695mm      125.38mm     130.695mm      122.98mm       132.6mm  T          0.00 HCPL0631       
U23        D008_L               160.94mm       67.83mm      160.94mm       67.83mm      163.29mm      65.925mm  T        180.00 LM358AD        
U25        SOIC8                149.51mm      60.845mm      149.51mm      60.845mm      147.11mm       62.75mm  T          0.00 TLC6515CD      
U8         SOIC8                125.38mm     124.345mm      125.38mm     124.345mm      122.98mm      126.25mm  T          0.00 HCPL0631       
U5         SPWF01SA             66.352mm      129.24mm      58.705mm     121.805mm      58.705mm     121.805mm  T        360.00 SPWF01SA       
U43        MSOP8                148.24mm       44.97mm      148.24mm       44.97mm     150.215mm      43.995mm  T        180.00 MCP3201-CI/MS  
U44        SOIC8                162.21mm        43.7mm      162.21mm        43.7mm      164.61mm      41.795mm  T        180.00 MCP601         
U42        MSOP8                148.24mm       52.59mm      148.24mm       52.59mm     150.215mm      51.615mm  T        180.00 MCP3201-CI/MS  
U41        SOIC8                162.21mm      51.955mm      162.21mm      51.955mm      164.61mm       50.05mm  T        180.00 MCP601         
U11        SOIC8                125.38mm     111.645mm      125.38mm     111.645mm      127.78mm      109.74mm  T        180.00 HCPL0631       
U9         SOIC8                125.38mm     117.995mm      125.38mm     117.995mm      122.98mm       119.9mm  T          0.00 HCPL0631       
Q1         TO-263AB            155.225mm      142.76mm      160.94mm      142.76mm      149.51mm     145.355mm  T        270.00 IRFZ44         
Q9         TO-263AB            155.225mm     118.503mm      160.94mm     118.503mm      149.51mm     121.098mm  T        270.00 IRFZ44         
Q16        TO-263AB            155.225mm      82.435mm      160.94mm      82.435mm      149.51mm       85.03mm  T        270.00 IRFZ44         
Q14        TO-263AB            155.225mm        94.5mm      160.94mm        94.5mm      149.51mm      97.095mm  T        270.00 IRFZ44         
Q6         TO-263AB            155.225mm     130.695mm      160.94mm     130.695mm      149.51mm      133.29mm  T        270.00 IRFZ44         
Q12        TO-263AB            155.225mm     106.565mm      160.94mm     106.565mm      149.51mm      109.16mm  T        270.00 IRFZ44         
D2         SOT23               102.266mm      138.95mm     102.266mm      138.95mm     101.316mm      137.75mm  T         90.00 Diode Schottky 
D5         DO-214AS              107.6mm     137.045mm       107.6mm     137.045mm       109.7mm     137.045mm  T        180.00 TVS Diode      
D15        DO-41                51.085mm       41.16mm      51.085mm       41.16mm      45.855mm       41.16mm  T        360.00 Diode 1N4007   
D1         SOT23                90.455mm      138.95mm      90.455mm      138.95mm      89.505mm      137.75mm  T         90.00 Diode Schottky 
D4         DO-214AS              96.17mm     137.045mm       96.17mm     137.045mm       98.27mm     137.045mm  T        180.00 TVS Diode      
